"","AnoLancamento","Titulo","Diretor","Produtora","UF","Distribuidora","Genero","MaxSalas","Renda","Publico"
"35",2014,"Dominguinhos","Joaquim Castro, Eduardo Nazarian e Mariana Aydar","BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA","SP","Espaço Filmes ","Documentário",15,"120.180,26","10.249"
"36",2014,"Eles Voltam","Marcelo lordello","MARCELO COSTA LORDÊLLO / PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA","PE","Vitrine Filmes","Ficção",12,"38.067,50","5.421"
"37",2014,"Em busca de Iara","Flavio Frederico","Kinoscópio Cinematográfica","SP","Kinoscópio","Documentário",12,"80.229,75","7.563"
"38",2014,"Em Busca de um Lugar Comum","Felippe Mussel","SOBRETUDO PRODUÇÃO AUDIOVISUAL E ARTÍSTICA LTDA.","RJ","ArtHouse","Documentário",1,"901,00","200"
"39",2014,"Entre Nós","Paulo Morelli","O2 Cinema Ltda","SP","Downtown/Paris","Ficção",107,"927.138,44","70.751"
"40",2014,"Entre Vales","Philippe Barcinsk","DEGRAU PRODUÇÕES CULTURAIS LTDA","SP","Imovision ","Ficção",5,"32.834,93","3.255"
"41",2014,"Esse Viver Ninguém me Tira","Caco Ciocler","L PIRES; BSB SERVIÇOS CINEGROUP LTDA","DF","Cine Group","Documentário",3,"21.688,27","1.514"
"42",2014,"Estação Liberdade","Caíto Ortiz","Prodigo Films Ltda","SP","Elo Company","Ficção",2,"8.461,29","564"
"43",2014,"Futebol de várzea","Marc Dourdin","Mamute Filmes","SP","Polifilmes","Documentário",1,"320,00","52"
"44",2014,"Gata Velha Ainda Mia","Rafael Primot","PILOTO CINEMA E TELEVISÃO LTDA","SP","Polifilmes","Ficção",11,"41.418,10","3.180"
"45",2014,"Getúlio","João Jardim","Fogo Azul Filmes Ltda.","RJ","Copacabana Filmes","Ficção",182,"6.447.968,11","508.901"
"46",2014,"Hélio Oiticica","Cesar Oiticica Filho","GUERRILHA PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LIMITADA","RJ","Nossa Distribuidora ","Documentário",9,"48.201,96","4.009"
"47",2014,"Hoje eu quero voltar sozinho","Daniel Ribeiro","Lacuna Filmes / DIANA RIBEIRO GOMES DE ALMEIDA","SP","Vitrine Filmes","Ficção",71,"2.394.355,50","204.748"
"48",2014,"Ilegal","Raphael Erichsen, Tarso Araujo","3FG TV Produções","SP","Espaço Filmes ","Documentário",25,"73.598,54","5.619"
"49",2014,"Insônia","Beto Souza","Panda Filmes","RS","Espaço Filmes ","Ficção",8,"25.215,70","2.079"
"50",2014,"Irmã Dulce","Vicente Amorim","MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.","RJ","Downtown/Paris","Ficção",143,"2.332.512,11","200.739"
"51",2014,"Isolados","Tomas Portella","Media Bridge Produções","RJ","Downtown/Paris","Ficção",181,"910.796,46","81.367"
"52",2014,"Jardim Europa","Mauro Baptista Vedia","Plano Geral Produções Artísticas e Cinematográficas/Kashmir Produções Artísticas","SP","Raiz Filmes","Ficção",1,"11.965,00","942"
"53",2014,"Jogo das Decapitações","Sérgio Bianchi","AGRAVO PRODUÇÕES CINEMATOGRÁFICAS S/C LTDA","SP","Pandora ","Ficção",8,"13.501,07","1.301"
"54",2014,"Jogo de Xadrez","Luis Antonio Pereira","ECLECTIC ENTERTAINMENT PRODUÇÕES LTDA - ME","RJ","Elo Company","Ficção",10,"6.707,83","521"
"55",2014,"Julio Sumiu","Roberto Berliner","TV ZERO CINEMA LTDA","RJ","Imagem ","Ficção",259,"2.237.498,32","179.745"
"56",2014,"Junho","João Wainer","AGENCIA FOLHA DE NOTÍCIAS LTDA.","SP","O2 Play","Documentário",14,"48.219,09","3.706"
"57",2014,"La Playa D. C.","Juan Andrés Arango","Bananeira Filmes","RJ","Tucumán","Ficção",3,"5.045,50","479"
"58",2014,"Lascados","Vitor Mafra","Santa Rita Filmes","SP","Santa Rita Filmes","Ficção",41,"327.317,11","25.999"
"59",2014,"Latitudes","Felipe Braga","Losbragas Produções Ltda","RJ","O2 Play","Ficção",5,"17.987,79","1.505"
"60",2014,"Made in China","Estevão Ciavatta","GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S.A.","RJ","H2O Films","Ficção",396,"4.171.162,46","381.782"
"61",2014,"Mão na Luva","José Joffily, Roberto Bomtempo","MOVIMENTO CARIOCA PRODUÇÕES ARTISTICAS LTDA; SALA 2 CINE VIDEO LIMITADA","RJ / MG","Ab Filmes","Ficção",5,"12.232,52","941"
"62",2014,"Mar negro","Rodrigo Aragão","Fábulas Negras produções Artisticas Ltda","ES","Petrini","Ficção",0,"0,00","0"
"63",2014,"Meninos da Vila - A Magia dos Santos","Kátia Lund","CANAL AZUL PRODUÇÕES CULTURAIS LTDA","SP","Elo Company","Documentário",4,"393,22","35"
"64",2014,"Meninos de Kichute","Luca Amberg","AMBERG FILMES LTDA","SP","Pandora ","Ficção",13,"17.755,98","1.974"
"65",2014,"Mentiras Sinceras","Pedro Asbeg","CAVIDEO PRODUÇÕES, COMÉRCIO E LOCAÇÃO DE FILMES LTDA. / LINK PRODUÇÕES LTDA.","RJ","Livres Distribuidora","Documentário",1,"1.260,00","200"
"66",2014,"Minutos Atrás","Caio Sóh","MARIA FARINHA FILMES E PRODUÇÕES LTDA.","RJ","H2O Films","Ficção",11,"8.530,29","860"
"67",2014,"Muita calma nessa hora 2","Felipe Joffily","Casé Filmes Ltda / GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S.A.","RJ","Downtown/Paris","Ficção",422,"15.888.595,19","1.429.862"
"68",2014,"Na Quebrada","Fernando Andrade","SPRAY FILMES S/S LTDA","SP","Downtown/Paris","Ficção",218,"2.932.914,29","253.762"
"69",2014,"Não Pare na Pista: A Melhor História de Paulo Coelho","Daniel Sampaio Augusto","Cuatro Damas Filmes Ltda","SP","Sony ","Ficção",288,"1.140.852,00","93.701"
"70",2014,"O Candidato Honesto","Roberto Santucci","Camisa Listrada / PANORAMA FILMES","MG / RJ","Downtown/Paris","Ficção",595,"24.825.913,62","2.237.537"
"71",2014,"O Casamento de Gorete","Paulo Vespúcio","LETICIA SPILLER PENA PRODUCOES ARTISTICAS","RJ","Europa","Ficção",100,"992.902,80","91.611"
"72",2014,"O Grande Kilapy","Zézé Gamboa","RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME","SP","Imovision ","Ficção",3,"1.272,00","118"
"73",2014,"O Homem das Multidões","Cão Guimarães e Marcelo Gomes","CINCO EM PONTO LTDA ME","MG","Espaço Filmes ","Ficção",17,"131.772,40","11.376"
"74",2014,"O Lobo Atrás da Porta","Fernando Coimbra","Gullane Entretenimento S.A.","SP","Imagem ","Ficção",29,"343.312,94","26.261"
"75",2014,"O Menino e o Mundo","Alê Abreu","Alê Abreu Produções Ltda","SP","Espaço Filmes ","Animação",17,"333.562,83","33.978"
"76",2014,"O Menino no Espelho","Guilherme Fiúza","Camisa Listrada / GUILHERME FIUZA ZENHA ME","MG","Downtown/Paris","Ficção",13,"222.900,21","22.794"
"77",2014,"O Mercado de Notícias","Jorge Furtado","Casa de Cinema de Porto Alegre","RS","Espaço Filmes ","Documentário",16,"152.582,21","13.309"
"78",2014,"O Segredo dos Diamantes","Helvécio Ratton","Quimera Filmes","MG","Espaço Filmes ","Ficção",19,"53.870,09","4.539"
"79",2014,"O Senhor do Labirinto","Geraldo Motta, Gisella de Mello","TIBET FILME LTDA","RJ","E.H. Produções","Ficção",10,"21.264,82","1.719"
"80",2014,"O Último Lance do Leilão","Orides Vicente da Silva e Fabrício Cavalcanti","Voltado para o Trono Produtora e Distribuidora de Cds e Dvds LTDA - ME.","SP","Sam Rádio Pictures","Ficção",0,"0,00","0"
"81",2014,"O Vento Lá Fora","Marcio Debellian","QPA - QUITANDA PRODUCOES ARTISTICAS LTDA - EPP","RJ","Quitanda Produções ","Documentário",0,"0,00","0"
"82",2014,"Olho Nu","Joel Pizzini","Paloma Rocha Produções Artísticas E Cinematográfica Ltda/ Canal Brazil S.A","RJ","Vitrine Filmes","Documentário",22,"100.929,13","8.998"
